Date;Michigan;;
01.10.2020;-16,89934594;;-1,689934594
01.11.2020;-15,95255851;;-1,595255851
01.12.2020;-13,10577108;;-1,310577108
01.01.2021;-16,55898364;;-1,655898364
01.02.2021;-17,21219621;;-1,721219621
01.03.2021;-10,56540877;;-1,056540877
01.04.2021;-6,518621339;;-0,651862134
01.05.2021;-14,4718339;;-1,44718339
01.06.2021;-15,42504647;;-1,542504647
01.07.2021;-19,67825904;;-1,967825904
01.08.2021;-25,8314716;;-2,58314716
01.09.2021;-24,38468417;;-2,438468417
01.10.2021;-26,93789673;;-2,693789673
01.11.2021;-31,1911093;;-3,11911093
01.12.2021;-30,74432186;;-3,074432186
01.01.2022;-33,09753443;;-3,309753443
01.02.2022;-37,050747;;-3,7050747
01.03.2022;-38,20395956;;-3,820395956
01.04.2022;-36,15717213;;-3,615717213
01.05.2022;-42,11038469;;-4,211038469
